ParticipantID;Group;timeFac;value
1012;EG;Prä;2,14285714285714
1012;EG;Post;2,07142857142857
1012;EG;FU;2,42857142857143
1014;EG;Prä;3,50000000000000
1014;EG;Post;3,78571428571429
1014;EG;FU;3,64285714285714
1016;EG;Prä;1,85714285714286
1016;EG;Post;2,07142857142857
1016;EG;FU;1,71428571428571
1020;EG;Prä;3,57142857142857
1020;EG;Post;2,85714285714286
1020;EG;FU;2,64285714285714
1022;EG;Prä;4,21428571428571
1022;EG;Post;4,42857142857143
1022;EG;FU;3,57142857142857
1023;EG;Prä;2,57142857142857
1023;EG;Post;1,50000000000000
1023;EG;FU;2,14285714285714
1024;EG;Prä;3,35714285714286
1024;EG;Post;3,71428571428571
1024;EG;FU;3,50000000000000
1027;EG;Prä;3,85714285714286
1027;EG;Post;3,85714285714286
1027;EG;FU;3,28571428571429
1028;EG;Prä;4,14285714285714
1028;EG;Post;4,07142857142857
1028;EG;FU;3,78571428571429
1030;EG;Prä;3,64285714285714
1030;EG;Post;3,57142857142857
1030;EG;FU;3,78571428571429
1031;EG;Prä;3,00000000000000
1031;EG;Post;3,57142857142857
1031;EG;FU;NA
1033;EG;Prä;3,28571428571429
1033;EG;Post;4,07142857142857
1033;EG;FU;4,07142857142857
1035;EG;Prä;2,92857142857143
1035;EG;Post;2,07142857142857
1035;EG;FU;2,42857142857143
1043;EG;Prä;2,42857142857143
1043;EG;Post;NA
1043;EG;FU;NA
1044;EG;Prä;4,50000000000000
1044;EG;Post;3,85714285714286
1044;EG;FU;4,35714285714286
1047;EG;Prä;2,50000000000000
1047;EG;Post;NA
1047;EG;FU;2,50000000000000
1048;EG;Prä;3,42857142857143
1048;EG;Post;3,28571428571429
1048;EG;FU;3,14285714285714
1049;EG;Prä;2,57142857142857
1049;EG;Post;3,00000000000000
1049;EG;FU;1,85714285714286
1052;EG;Prä;2,71428571428571
1052;EG;Post;2,42857142857143
1052;EG;FU;NA
1056;EG;Prä;2,50000000000000
1056;EG;Post;1,92857142857143
1056;EG;FU;3,07142857142857
1057;EG;Prä;2,07142857142857
1057;EG;Post;2,14285714285714
1057;EG;FU;2,14285714285714
1059;EG;Prä;3,92857142857143
1059;EG;Post;4,35714285714286
1059;EG;FU;4,28571428571429
1061;EG;Prä;3,42857142857143
1061;EG;Post;2,92857142857143
1061;EG;FU;3,35714285714286
1067;EG;Prä;2,78571428571429
1067;EG;Post;2,42857142857143
1067;EG;FU;2,07142857142857
1071;EG;Prä;4,50000000000000
1071;EG;Post;4,92857142857143
1071;EG;FU;4,64285714285714
1073;EG;Prä;2,28571428571429
1073;EG;Post;2,07142857142857
1073;EG;FU;2,57142857142857
1087;EG;Prä;3,92857142857143
1087;EG;Post;4,85714285714286
1087;EG;FU;4,50000000000000
1092;EG;Prä;1,85714285714286
1092;EG;Post;2,21428571428571
1092;EG;FU;1,71428571428571
1112;EG;Prä;4,50000000000000
1112;EG;Post;3,85714285714286
1112;EG;FU;4,07142857142857
1113;EG;Prä;4,07142857142857
1113;EG;Post;4,00000000000000
1113;EG;FU;NA
1115;EG;Prä;3,71428571428571
1115;EG;Post;3,50000000000000
1115;EG;FU;4,07142857142857
1121;EG;Prä;3,85714285714286
1121;EG;Post;3,78571428571429
1121;EG;FU;3,64285714285714
1125;EG;Prä;3,50000000000000
1125;EG;Post;3,71428571428571
1125;EG;FU;2,42857142857143
1126;EG;Prä;2,92857142857143
1126;EG;Post;2,42857142857143
1126;EG;FU;3,35714285714286
1127;EG;Prä;1,78571428571429
1127;EG;Post;2,07142857142857
1127;EG;FU;3,21428571428571
1129;EG;Prä;4,07142857142857
1129;EG;Post;4,07142857142857
1129;EG;FU;3,92857142857143
1133;EG;Prä;2,92857142857143
1133;EG;Post;2,42857142857143
1133;EG;FU;2,71428571428571
1136;EG;Prä;2,85714285714286
1136;EG;Post;2,28571428571429
1136;EG;FU;2,21428571428571
1137;EG;Prä;4,21428571428571
1137;EG;Post;4,07142857142857
1137;EG;FU;4,07142857142857
1139;EG;Prä;3,78571428571429
1139;EG;Post;4,07142857142857
1139;EG;FU;3,71428571428571
1142;EG;Prä;4,14285714285714
1142;EG;Post;3,92857142857143
1142;EG;FU;3,85714285714286
NA;EG;Prä;2,42857142857143
NA;EG;Post;2,50000000000000
NA;EG;FU;3,28571428571429
1145;EG;Prä;4,00000000000000
1145;EG;Post;3,85714285714286
1145;EG;FU;3,85714285714286
1146;EG;Prä;3,42857142857143
1146;EG;Post;3,07142857142857
1146;EG;FU;NA
1150;EG;Prä;4,64285714285714
1150;EG;Post;4,85714285714286
1150;EG;FU;4,71428571428571
1152;EG;Prä;3,85714285714286
1152;EG;Post;3,71428571428571
1152;EG;FU;3,85714285714286
1155;EG;Prä;2,78571428571429
1155;EG;Post;2,35714285714286
1155;EG;FU;2,85714285714286
1156;EG;Prä;3,21428571428571
1156;EG;Post;3,78571428571429
1156;EG;FU;3,50000000000000
1159;EG;Prä;3,57142857142857
1159;EG;Post;4,21428571428571
1159;EG;FU;4,35714285714286
1160;EG;Prä;3,28571428571429
1160;EG;Post;3,00000000000000
1160;EG;FU;3,21428571428571
1200;EG;Prä;2,14285714285714
1200;EG;Post;3,00000000000000
1200;EG;FU;3,14285714285714
1201;EG;Prä;3,71428571428571
1201;EG;Post;4,07142857142857
1201;EG;FU;4,07142857142857
1208;EG;Prä;2,28571428571429
1208;EG;Post;NA
1208;EG;FU;NA
1212;EG;Prä;2,57142857142857
1212;EG;Post;3,07142857142857
1212;EG;FU;2,71428571428571
1007;KG;Prä;2,78571428571429
1007;KG;Post;2,92857142857143
1007;KG;FU;3,07142857142857
1011;KG;Prä;2,35714285714286
1011;KG;Post;1,64285714285714
1011;KG;FU;2,28571428571429
1013;KG;Prä;2,57142857142857
1013;KG;Post;2,71428571428571
1013;KG;FU;2,57142857142857
1015;KG;Prä;4,07142857142857
1015;KG;Post;NA
1015;KG;FU;NA
