ParticipantID;Group;Prä;Post;FU
1012;EG;2,14285714285714;2,07142857142857;2,42857142857143
1014;EG;3,50000000000000;3,78571428571429;3,64285714285714
1016;EG;1,85714285714286;2,07142857142857;1,71428571428571
1020;EG;3,57142857142857;2,85714285714286;2,64285714285714
1022;EG;4,21428571428571;4,42857142857143;3,57142857142857
1023;EG;2,57142857142857;1,50000000000000;2,14285714285714
1024;EG;3,35714285714286;3,71428571428571;3,50000000000000
1027;EG;3,85714285714286;3,85714285714286;3,28571428571429
1028;EG;4,14285714285714;4,07142857142857;3,78571428571429
1030;EG;3,64285714285714;3,57142857142857;3,78571428571429
1031;EG;3,00000000000000;3,57142857142857;NA
1033;EG;3,28571428571429;4,07142857142857;4,07142857142857
1035;EG;2,92857142857143;2,07142857142857;2,42857142857143
1043;EG;2,42857142857143;NA;NA
1044;EG;4,50000000000000;3,85714285714286;4,35714285714286
1047;EG;2,50000000000000;NA;2,50000000000000
1048;EG;3,42857142857143;3,28571428571429;3,14285714285714
1049;EG;2,57142857142857;3,00000000000000;1,85714285714286
1052;EG;2,71428571428571;2,42857142857143;NA
1056;EG;2,50000000000000;1,92857142857143;3,07142857142857
1057;EG;2,07142857142857;2,14285714285714;2,14285714285714
1059;EG;3,92857142857143;4,35714285714286;4,28571428571429
1061;EG;3,42857142857143;2,92857142857143;3,35714285714286
1067;EG;2,78571428571429;2,42857142857143;2,07142857142857
1071;EG;4,50000000000000;4,92857142857143;4,64285714285714
1073;EG;2,28571428571429;2,07142857142857;2,57142857142857
1087;EG;3,92857142857143;4,85714285714286;4,50000000000000
1092;EG;1,85714285714286;2,21428571428571;1,71428571428571
1112;EG;4,50000000000000;3,85714285714286;4,07142857142857
1113;EG;4,07142857142857;4,00000000000000;NA
1115;EG;3,71428571428571;3,50000000000000;4,07142857142857
1121;EG;3,85714285714286;3,78571428571429;3,64285714285714
1125;EG;3,50000000000000;3,71428571428571;2,42857142857143
1126;EG;2,92857142857143;2,42857142857143;3,35714285714286
1127;EG;1,78571428571429;2,07142857142857;3,21428571428571
1129;EG;4,07142857142857;4,07142857142857;3,92857142857143
1133;EG;2,92857142857143;2,42857142857143;2,71428571428571
1136;EG;2,85714285714286;2,28571428571429;2,21428571428571
1137;EG;4,21428571428571;4,07142857142857;4,07142857142857
1139;EG;3,78571428571429;4,07142857142857;3,71428571428571
1142;EG;4,14285714285714;3,92857142857143;3,85714285714286
NA;EG;2,42857142857143;2,50000000000000;3,28571428571429
1145;EG;4,00000000000000;3,85714285714286;3,85714285714286
1146;EG;3,42857142857143;3,07142857142857;NA
1150;EG;4,64285714285714;4,85714285714286;4,71428571428571
1152;EG;3,85714285714286;3,71428571428571;3,85714285714286
1155;EG;2,78571428571429;2,35714285714286;2,85714285714286
1156;EG;3,21428571428571;3,78571428571429;3,50000000000000
1159;EG;3,57142857142857;4,21428571428571;4,35714285714286
1160;EG;3,28571428571429;3,00000000000000;3,21428571428571
1200;EG;2,14285714285714;3,00000000000000;3,14285714285714
1201;EG;3,71428571428571;4,07142857142857;4,07142857142857
1208;EG;2,28571428571429;NA;NA
1212;EG;2,57142857142857;3,07142857142857;2,71428571428571
1007;KG;2,78571428571429;2,92857142857143;3,07142857142857
1011;KG;2,35714285714286;1,64285714285714;2,28571428571429
1013;KG;2,57142857142857;2,71428571428571;2,57142857142857
1015;KG;4,07142857142857;NA;NA
1017;KG;2,78571428571429;2,85714285714286;2,85714285714286
1019;KG;4,00000000000000;3,71428571428571;3,92857142857143
1025;KG;3,78571428571429;4,35714285714286;NA
1026;KG;4,00000000000000;3,00000000000000;3,85714285714286
1032;KG;3,85714285714286;3,92857142857143;4,00000000000000
1039;KG;3,35714285714286;3,78571428571429;3,64285714285714
1042;KG;3,21428571428571;3,00000000000000;NA
1045;KG;3,71428571428571;3,28571428571429;2,42857142857143
1053;KG;4,07142857142857;3,28571428571429;3,28571428571429
1054;KG;3,35714285714286;2,92857142857143;2,71428571428571
1055;KG;3,42857142857143;2,64285714285714;2,35714285714286
1062;KG;3,42857142857143;3,00000000000000;3,07142857142857
1063;KG;3,57142857142857;3,00000000000000;NA
1064;KG;2,64285714285714;NA;NA
1066;KG;2,71428571428571;3,07142857142857;2,42857142857143
1068;KG;3,00000000000000;4,21428571428571;4,07142857142857
1069;KG;3,35714285714286;3,57142857142857;3,42857142857143
1072;KG;3,92857142857143;3,00000000000000;4,28571428571429
1079;KG;3,78571428571429;4,42857142857143;NA
1083;KG;3,21428571428571;2,92857142857143;NA
1084;KG;3,57142857142857;3,28571428571429;NA
1091;KG;1,14285714285714;2,57142857142857;2,92857142857143
1103;KG;2,92857142857143;2,28571428571429;1,50000000000000
1104;KG;3,64285714285714;3,42857142857143;3,71428571428571
1105;KG;3,71428571428571;3,28571428571429;3,50000000000000
1106;KG;2,92857142857143;3,07142857142857;3,07142857142857
1107;KG;3,21428571428571;3,71428571428571;3,64285714285714
1108;KG;3,14285714285714;3,07142857142857;2,78571428571429
1110;KG;4,07142857142857;4,28571428571429;4,21428571428571
1118;KG;3,00000000000000;3,07142857142857;2,85714285714286
1120;KG;2,85714285714286;2,71428571428571;2,35714285714286
1122;KG;3,50000000000000;3,07142857142857;3,42857142857143
1134;KG;4,35714285714286;3,85714285714286;4,07142857142857
1135;KG;2,50000000000000;2,64285714285714;3,21428571428571
1138;KG;3,57142857142857;3,50000000000000;3,28571428571429
1141;KG;4,07142857142857;3,71428571428571;3,85714285714286
1143;KG;1,78571428571429;2,07142857142857;NA
